OrderId,Order_Number,Order_Quantity,Order_Priority,Order_DueDate,Order_Status,VehicleId
ORD-001,PO-2025-0001,1,Normal,2025-11-15T00:00:00,Complete,VEH-001
ORD-002,PO-2025-0002,1,Normal,2025-11-16T00:00:00,Complete,VEH-002
ORD-003,PO-2025-0003,1,High,2025-11-17T00:00:00,Complete,VEH-003
ORD-004,PO-2025-0004,1,Rush,2025-11-20T00:00:00,InProgress,VEH-004
ORD-005,PO-2025-0005,1,Normal,2025-11-18T00:00:00,Complete,VEH-005
ORD-006,PO-2025-0006,1,Normal,2025-11-19T00:00:00,Complete,VEH-006
ORD-007,PO-2025-0007,1,High,2026-01-15T00:00:00,InProgress,VEH-007
ORD-008,PO-2025-0008,1,Normal,2025-11-10T00:00:00,Complete,VEH-008
ORD-009,PO-2025-0009,1,Normal,2025-11-12T00:00:00,Complete,VEH-009
ORD-010,PO-2025-0010,1,Normal,2025-11-20T00:00:00,Complete,VEH-010
ORD-011,PO-2026-0001,1,Normal,2026-02-01T00:00:00,Planned,VEH-011
ORD-012,PO-2026-0002,1,Rush,2026-01-10T00:00:00,InProgress,VEH-012
ORD-013,PO-2026-0003,1,High,2026-01-20T00:00:00,Planned,VEH-013
ORD-014,PO-2026-0004,1,Normal,2026-01-08T00:00:00,InProgress,VEH-014
ORD-015,PO-2026-0005,1,Normal,2026-02-15T00:00:00,Planned,VEH-015
ORD-016,PO-2026-0006,1,Normal,2026-01-25T00:00:00,Planned,VEH-016
ORD-017,PO-2026-0007,1,High,2026-02-05T00:00:00,Planned,VEH-017
ORD-018,PO-2026-0008,1,Normal,2026-02-10T00:00:00,Planned,VEH-018
ORD-019,PO-2026-0009,1,Normal,2026-03-01T00:00:00,Planned,VEH-019
ORD-020,PO-2026-0010,1,Normal,2026-02-20T00:00:00,Planned,VEH-020
