AssemblyId,ComponentId
ASM-001,CMP-002
ASM-001,CMP-004
ASM-001,CMP-016
ASM-001,CMP-023
ASM-002,CMP-006
ASM-002,CMP-008
ASM-002,CMP-009
ASM-002,CMP-010
ASM-003,CMP-007
ASM-003,CMP-020
ASM-003,CMP-22
ASM-003,CMP-024
ASM-004,CMP-001
ASM-004,CMP-003
ASM-004,CMP-016
ASM-005,CMP-017
ASM-005,CMP-018
ASM-005,CMP-019
ASM-005,CMP-025
ASM-006,CMP-002
ASM-006,CMP-004
ASM-006,CMP-016
ASM-006,CMP-023
ASM-007,CMP-006
ASM-007,CMP-008
ASM-007,CMP-009
ASM-007,CMP-010
ASM-008,CMP-007
ASM-008,CMP-020
ASM-008,CMP-022
ASM-008,CMP-024
ASM-009,CMP-001
ASM-009,CMP-003
ASM-009,CMP-016
ASM-010,CMP-017
ASM-010,CMP-018
ASM-010,CMP-019
ASM-010,CMP-025
ASM-011,CMP-002
ASM-011,CMP-004
ASM-011,CMP-016
ASM-011,CMP-023
ASM-012,CMP-006
ASM-012,CMP-008
ASM-012,CMP-009
ASM-012,CMP-010
ASM-013,CMP-007
ASM-013,CMP-020
ASM-013,CMP-022
ASM-013,CMP-024
ASM-014,CMP-001
ASM-014,CMP-003
ASM-014,CMP-016
ASM-015,CMP-017
ASM-015,CMP-018
ASM-015,CMP-019
ASM-015,CMP-025
ASM-016,CMP-002
ASM-016,CMP-004
ASM-016,CMP-011
ASM-016,CMP-023
ASM-017,CMP-006
ASM-017,CMP-008
ASM-017,CMP-009
ASM-017,CMP-021
ASM-018,CMP-007
ASM-018,CMP-020
ASM-018,CMP-022
ASM-018,CMP-024
ASM-019,CMP-001
ASM-019,CMP-003
ASM-019,CMP-016
ASM-020,CMP-017
ASM-020,CMP-018
ASM-020,CMP-012
ASM-020,CMP-025
