ShipmentId,ComponentId
SHP-001,CMP-001
SHP-001,CMP-002
SHP-002,CMP-003
SHP-002,CMP-004
SHP-003,CMP-005
SHP-003,CMP-015
SHP-003,CMP-022
SHP-004,CMP-006
SHP-004,CMP-007
SHP-004,CMP-020
SHP-005,CMP-008
SHP-005,CMP-009
SHP-005,CMP-021
SHP-006,CMP-010
SHP-006,CMP-019
SHP-006,CMP-024
SHP-007,CMP-011
SHP-007,CMP-012
SHP-007,CMP-025
SHP-008,CMP-013
SHP-008,CMP-014
SHP-009,CMP-016
SHP-009,CMP-023
SHP-010,CMP-017
SHP-010,CMP-018
SHP-011,CMP-001
SHP-011,CMP-006
SHP-011,CMP-008
SHP-012,CMP-002
SHP-012,CMP-007
SHP-012,CMP-017
SHP-013,CMP-001
SHP-013,CMP-002
SHP-014,CMP-003
SHP-014,CMP-004
SHP-015,CMP-005
SHP-015,CMP-015
SHP-016,CMP-006
SHP-016,CMP-007
SHP-017,CMP-008
SHP-017,CMP-009
SHP-018,CMP-010
SHP-018,CMP-011
SHP-019,CMP-012
SHP-019,CMP-013
SHP-020,CMP-014
SHP-020,CMP-016
SHP-021,CMP-017
SHP-021,CMP-023
SHP-022,CMP-018
SHP-022,CMP-019
SHP-023,CMP-020
SHP-023,CMP-021
SHP-024,CMP-022
SHP-024,CMP-024
SHP-025,CMP-001
SHP-025,CMP-025
