Timestamp,DeviceId,LoginAttempts,FailedLogins,SessionDuration
2025-12-01T00:00:00,DEV001,3,0,45.5
2025-12-05T00:00:00,DEV001,2,0,38.2
2025-12-10T00:00:00,DEV001,4,0,52.8
2025-12-15T00:00:00,DEV001,2,0,41.0
2025-12-01T00:00:00,DEV002,5,0,62.3
2025-12-08T00:00:00,DEV002,3,0,48.5
2025-12-15T00:00:00,DEV002,4,0,55.2
2025-12-01T00:00:00,DEV003,4,1,35.8
2025-12-11T00:00:00,DEV003,6,2,42.5
2025-12-19T00:00:00,DEV003,8,3,28.2
2025-12-02T00:00:00,DEV005,12,8,15.5
2025-12-04T00:00:00,DEV005,18,14,8.2
2025-12-05T00:00:00,DEV005,25,22,5.5
2025-12-19T00:00:00,DEV005,32,28,3.2
2025-12-03T00:00:00,DEV006,3,0,58.5
2025-12-10T00:00:00,DEV006,2,0,45.2
2025-12-17T00:00:00,DEV006,4,0,52.8
2025-12-04T00:00:00,DEV007,4,0,48.5
2025-12-12T00:00:00,DEV007,3,0,55.2
2025-12-18T00:00:00,DEV007,5,1,42.0
2025-12-05T00:00:00,DEV009,2,0,65.5
2025-12-12T00:00:00,DEV009,3,0,58.2
2025-12-19T00:00:00,DEV009,2,0,62.8
2025-12-06T00:00:00,DEV010,8,5,22.5
2025-12-14T00:00:00,DEV010,15,12,12.8
2025-12-06T00:00:00,DEV011,3,0,52.5
2025-12-13T00:00:00,DEV011,2,0,48.2
2025-12-18T00:00:00,DEV011,4,0,55.8
2025-12-07T00:00:00,DEV012,4,1,42.5
2025-12-14T00:00:00,DEV012,3,0,48.2
2025-12-07T00:00:00,DEV014,10,7,18.5
2025-12-12T00:00:00,DEV014,14,11,12.2
2025-12-07T00:00:00,DEV015,6,3,25.5
2025-12-20T00:00:00,DEV015,12,9,15.2
2025-12-08T00:00:00,DEV016,2,0,58.5
2025-12-15T00:00:00,DEV016,3,0,52.2
2025-12-08T00:00:00,DEV017,3,0,48.5
2025-12-15T00:00:00,DEV017,4,0,55.2
2025-12-08T00:00:00,DEV018,5,0,42.5
2025-12-15T00:00:00,DEV018,4,0,48.2
2025-12-09T00:00:00,DEV019,3,0,62.5
2025-12-16T00:00:00,DEV019,2,0,58.2
2025-12-09T00:00:00,DEV020,8,5,22.5
2025-12-20T00:00:00,DEV020,11,8,18.2
2025-12-10T00:00:00,DEV021,2,0,55.5
2025-12-16T00:00:00,DEV021,3,0,48.2
2025-12-10T00:00:00,DEV022,4,0,52.5
2025-12-17T00:00:00,DEV022,3,0,58.2
2025-12-11T00:00:00,DEV023,3,0,65.5
2025-12-18T00:00:00,DEV023,4,0,58.2
2025-12-20T00:00:00,DEV023,2,0,62.8
2025-12-10T00:00:00,DEV024,15,12,10.5
2025-12-16T00:00:00,DEV024,22,18,6.2
2025-12-13T00:00:00,DEV026,18,15,8.5
2025-12-19T00:00:00,DEV026,12,9,12.2
2025-12-12T00:00:00,DEV027,3,0,52.5
2025-12-17T00:00:00,DEV027,4,0,48.2
2025-12-12T00:00:00,DEV028,5,0,45.5
2025-12-17T00:00:00,DEV028,4,0,52.2
2025-12-13T00:00:00,DEV029,2,0,58.5
2025-12-18T00:00:00,DEV029,3,0,52.2
2025-12-10T00:00:00,DEV030,9,6,18.5
2025-12-15T00:00:00,DEV030,7,4,22.2
