DeviceId,DeviceType,DeviceOS,FirstSeen,LastSeen,IsTrusted
DEV001,Mobile,iOS 17,2021-03-15T09:30:00,2025-12-28T14:22:00,true
DEV002,Mobile,Android 14,2020-07-22T14:15:00,2025-12-30T09:45:00,true
DEV003,Desktop,Windows 11,2019-11-08T11:00:00,2025-12-29T16:30:00,true
DEV004,Tablet,iPadOS 17,2022-01-30T16:45:00,2025-12-27T11:15:00,true
DEV005,Mobile,Android 13,2018-05-12T08:20:00,2025-11-15T22:40:00,false
DEV006,Desktop,macOS Sonoma,2021-09-18T13:00:00,2025-12-30T10:00:00,true
DEV007,Mobile,iOS 16,2020-12-05T10:30:00,2025-12-28T18:55:00,true
DEV008,POS Terminal,Embedded Linux,2019-08-25T15:45:00,2025-12-30T08:30:00,true
DEV009,Mobile,Android 14,2022-04-10T09:00:00,2025-12-29T20:10:00,true
DEV010,Desktop,Windows 10,2020-02-28T12:15:00,2025-12-25T14:45:00,false
DEV011,Mobile,iOS 17,2021-06-14T14:30:00,2025-12-30T07:20:00,true
DEV012,Tablet,Android 13,2019-04-03T11:45:00,2025-12-28T23:15:00,true
DEV013,Desktop,Linux Ubuntu,2022-08-20T16:00:00,2025-12-29T12:30:00,true
DEV014,Mobile,Android 12,2020-10-11T08:45:00,2025-10-20T03:25:00,false
DEV015,Web Browser,Chrome 120,2018-12-30T13:30:00,2025-12-30T11:40:00,false
DEV016,Mobile,iOS 16,2021-11-22T10:00:00,2025-12-27T15:55:00,true
DEV017,Desktop,Windows 11,2020-05-07T15:15:00,2025-12-29T09:10:00,true
DEV018,POS Terminal,Embedded Linux,2019-09-14T09:45:00,2025-12-30T06:45:00,true
DEV019,Mobile,Android 14,2022-02-18T12:00:00,2025-12-28T21:30:00,true
DEV020,Web Browser,Safari 17,2018-07-26T14:45:00,2025-12-26T17:20:00,false
DEV021,Tablet,iPadOS 16,2021-04-09T11:30:00,2025-12-29T13:05:00,true
DEV022,Mobile,iOS 17,2020-08-15T16:15:00,2025-12-30T08:15:00,true
DEV023,Desktop,macOS Ventura,2022-06-02T08:00:00,2025-12-28T19:40:00,true
DEV024,Mobile,Android 11,2019-01-19T13:45:00,2025-08-14T04:50:00,false
DEV025,Web Browser,Firefox 121,2022-10-28T10:30:00,2025-12-29T22:00:00,true
DEV026,Mobile,iOS 15,2020-03-22T09:15:00,2025-09-30T02:15:00,false
DEV027,Desktop,Windows 11,2021-07-18T14:00:00,2025-12-30T10:25:00,true
DEV028,POS Terminal,Proprietary,2018-11-05T11:30:00,2025-12-29T07:55:00,true
DEV029,Mobile,Android 14,2023-01-15T08:45:00,2025-12-28T16:35:00,true
DEV030,Tablet,Android 12,2020-09-28T15:20:00,2025-11-22T12:10:00,false
