Timestamp,StoreId,FootTraffic,SalesVelocity,AvgTransactionValue
2025-12-07T08:00:00,STR001,45,12.5,42.30
2025-12-07T09:00:00,STR001,120,35.2,48.75
2025-12-07T10:00:00,STR001,185,52.8,51.20
2025-12-07T11:00:00,STR001,210,61.4,55.90
2025-12-07T12:00:00,STR001,245,72.1,58.45
2025-12-07T13:00:00,STR001,198,58.3,52.80
2025-12-07T14:00:00,STR001,175,48.9,49.15
2025-12-07T15:00:00,STR001,220,65.2,54.60
2025-12-07T16:00:00,STR001,280,82.5,62.35
2025-12-07T17:00:00,STR001,310,91.8,68.90
2025-12-07T18:00:00,STR001,265,78.4,59.25
2025-12-07T19:00:00,STR001,180,53.2,47.80
2025-12-07T08:00:00,STR002,38,10.2,39.50
2025-12-07T09:00:00,STR002,95,28.5,45.20
2025-12-07T10:00:00,STR002,145,42.8,49.80
2025-12-07T11:00:00,STR002,178,52.4,53.45
2025-12-07T12:00:00,STR002,205,60.8,56.90
2025-12-07T13:00:00,STR002,165,48.9,51.25
2025-12-07T14:00:00,STR002,142,41.5,47.60
2025-12-07T15:00:00,STR002,188,55.2,52.85
2025-12-07T16:00:00,STR002,235,69.8,58.40
2025-12-07T17:00:00,STR002,268,79.5,64.15
2025-12-07T18:00:00,STR002,220,65.2,57.30
2025-12-07T19:00:00,STR002,155,45.8,44.95
2025-12-07T08:00:00,STR003,42,11.8,41.20
2025-12-07T09:00:00,STR003,108,32.4,46.85
2025-12-07T10:00:00,STR003,162,48.5,50.40
2025-12-07T11:00:00,STR003,195,57.8,54.75
2025-12-07T12:00:00,STR003,228,67.5,59.20
2025-12-07T13:00:00,STR003,182,54.2,52.90
2025-12-07T14:00:00,STR003,158,46.8,48.55
2025-12-07T15:00:00,STR003,202,59.8,55.30
2025-12-07T16:00:00,STR003,255,75.4,61.85
2025-12-07T17:00:00,STR003,288,85.2,67.40
2025-12-07T18:00:00,STR003,242,71.8,58.95
2025-12-07T19:00:00,STR003,168,49.5,46.50
2025-12-07T08:00:00,STR004,32,8.5,38.20
2025-12-07T09:00:00,STR004,82,24.5,43.75
2025-12-07T10:00:00,STR004,125,37.2,48.30
2025-12-07T11:00:00,STR004,155,46.1,52.85
2025-12-07T12:00:00,STR004,182,54.2,56.40
2025-12-07T13:00:00,STR004,148,43.8,50.95
2025-12-07T14:00:00,STR004,128,37.9,46.50
2025-12-07T15:00:00,STR004,168,49.8,51.05
2025-12-07T16:00:00,STR004,208,61.5,57.60
2025-12-07T17:00:00,STR004,238,70.5,63.15
2025-12-07T18:00:00,STR004,195,57.8,55.70
2025-12-07T19:00:00,STR004,135,39.8,43.25
2025-12-07T10:00:00,STR005,138,41.2,49.60
2025-12-07T11:00:00,STR005,172,51.5,54.15
2025-12-07T12:00:00,STR005,198,58.8,57.70
2025-12-07T14:00:00,STR005,145,42.8,47.80
2025-12-07T16:00:00,STR005,225,66.5,59.35
2025-12-07T18:00:00,STR005,212,62.8,56.90
