OrderId,OrderDate,ExpectedDelivery,TotalAmount,OrderStatus,StoreId,SupplierId
PO001,2025-11-25T00:00:00,2025-12-01T00:00:00,15420.50,Delivered,STR001,SUP001
PO002,2025-11-26T00:00:00,2025-12-02T00:00:00,8750.00,Delivered,STR001,SUP002
PO003,2025-11-27T00:00:00,2025-12-03T00:00:00,12300.75,Delivered,STR002,SUP002
PO004,2025-11-28T00:00:00,2025-12-04T00:00:00,9850.25,Delivered,STR002,SUP003
PO005,2025-11-29T00:00:00,2025-12-05T00:00:00,18500.00,Delivered,STR003,SUP003
PO006,2025-11-30T00:00:00,2025-12-06T00:00:00,7250.50,Delivered,STR003,SUP004
PO007,2025-12-01T00:00:00,2025-12-07T00:00:00,22100.00,Delivered,STR004,SUP004
PO008,2025-12-01T00:00:00,2025-12-07T00:00:00,14750.25,Delivered,STR004,SUP005
PO009,2025-12-02T00:00:00,2025-12-08T00:00:00,19300.50,Delivered,STR005,SUP005
PO010,2025-12-02T00:00:00,2025-12-08T00:00:00,11200.00,Delivered,STR005,SUP006
PO011,2025-12-03T00:00:00,2025-12-09T00:00:00,16800.75,Delivered,STR006,SUP006
PO012,2025-12-03T00:00:00,2025-12-09T00:00:00,8450.00,Delivered,STR006,SUP007
PO013,2025-12-04T00:00:00,2025-12-10T00:00:00,13600.25,Delivered,STR007,SUP007
PO014,2025-12-04T00:00:00,2025-12-10T00:00:00,10250.50,Delivered,STR007,SUP008
PO015,2025-12-05T00:00:00,2025-12-11T00:00:00,21500.00,Shipped,STR008,SUP008
PO016,2025-12-05T00:00:00,2025-12-11T00:00:00,17800.75,Shipped,STR008,SUP009
PO017,2025-12-06T00:00:00,2025-12-12T00:00:00,9650.25,Shipped,STR009,SUP009
PO018,2025-12-06T00:00:00,2025-12-12T00:00:00,14100.00,Shipped,STR009,SUP010
PO019,2025-12-07T00:00:00,2025-12-13T00:00:00,11850.50,Pending,STR010,SUP010
PO020,2025-12-07T00:00:00,2025-12-13T00:00:00,16200.75,Pending,STR010,SUP001
PO021,2025-12-01T00:00:00,2025-12-07T00:00:00,8900.00,Delivered,STR011,SUP001
PO022,2025-12-02T00:00:00,2025-12-08T00:00:00,12450.25,Delivered,STR011,SUP002
PO023,2025-12-03T00:00:00,2025-12-09T00:00:00,7650.50,Delivered,STR012,SUP003
PO024,2025-12-04T00:00:00,2025-12-10T00:00:00,19800.00,Shipped,STR012,SUP004
PO025,2025-11-20T00:00:00,2025-11-26T00:00:00,13250.75,Delivered,STR001,SUP005
PO026,2025-11-21T00:00:00,2025-11-27T00:00:00,10500.25,Delivered,STR002,SUP006
PO027,2025-11-22T00:00:00,2025-11-28T00:00:00,15750.50,Delivered,STR003,SUP006
PO028,2025-11-23T00:00:00,2025-11-29T00:00:00,8200.00,Delivered,STR004,SUP007
PO029,2025-11-24T00:00:00,2025-11-30T00:00:00,11400.75,Delivered,STR005,SUP008
PO030,2025-12-05T00:00:00,2025-12-11T00:00:00,20100.25,Pending,STR006,SUP009
PO031,2025-12-06T00:00:00,2025-12-12T00:00:00,14350.50,Pending,STR007,SUP010
PO032,2025-12-07T00:00:00,2025-12-13T00:00:00,9700.00,Pending,STR008,SUP001
PO033,2025-11-28T00:00:00,2025-12-04T00:00:00,16850.75,Delivered,STR009,SUP002
PO034,2025-11-29T00:00:00,2025-12-05T00:00:00,12100.25,Delivered,STR010,SUP003
PO035,2025-11-30T00:00:00,2025-12-06T00:00:00,18400.50,Delivered,STR011,SUP004
