BatchId,timestamp,YieldRate,DefectCount,CycleTimeMin
BATCH001,2025-01-15T08:00:00,98.5,12,45.2
BATCH001,2025-01-15T12:00:00,98.2,15,46.1
BATCH001,2025-01-15T16:00:00,97.8,18,47.3
BATCH001,2025-01-16T08:00:00,98.1,14,45.8
BATCH002,2025-02-10T08:00:00,97.9,16,46.5
BATCH002,2025-02-10T12:00:00,97.5,20,48.2
BATCH002,2025-02-10T16:00:00,97.2,22,49.1
BATCH003,2025-01-20T08:00:00,98.8,8,42.3
BATCH003,2025-01-20T12:00:00,98.6,10,43.1
BATCH003,2025-01-20T16:00:00,98.4,12,43.8
BATCH004,2025-03-05T08:00:00,99.1,5,38.5
BATCH004,2025-03-05T12:00:00,99.0,6,38.9
BATCH004,2025-03-05T16:00:00,98.9,7,39.2
BATCH005,2025-03-12T08:00:00,98.7,9,39.8
BATCH005,2025-03-12T12:00:00,98.5,11,40.2
BATCH006,2025-02-18T08:00:00,97.2,25,52.1
BATCH006,2025-02-18T12:00:00,96.8,30,54.3
BATCH006,2025-02-18T16:00:00,96.5,33,55.8
BATCH007,2025-01-25T08:00:00,99.2,4,35.2
BATCH007,2025-01-25T12:00:00,99.0,6,35.8
BATCH008,2025-02-01T08:00:00,98.9,7,36.1
BATCH008,2025-02-01T12:00:00,98.7,9,36.8
BATCH009,2025-03-10T08:00:00,96.5,35,58.2
BATCH009,2025-03-10T12:00:00,95.8,42,62.1
BATCH009,2025-03-10T16:00:00,95.2,48,65.3
BATCH011,2025-02-20T08:00:00,94.2,58,68.5
BATCH011,2025-02-20T12:00:00,93.5,65,72.1
BATCH011,2025-02-20T16:00:00,92.8,72,75.8
BATCH011,2025-02-21T08:00:00,91.5,85,78.2
BATCH021,2025-01-22T08:00:00,88.5,115,82.3
BATCH021,2025-01-22T12:00:00,86.2,135,88.5
BATCH021,2025-01-22T16:00:00,84.1,152,92.1
BATCH021,2025-01-23T08:00:00,82.5,168,95.8
BATCH027,2025-04-05T08:00:00,91.2,88,72.5
BATCH027,2025-04-05T12:00:00,89.5,105,78.2
BATCH027,2025-04-05T16:00:00,87.8,122,82.8
BATCH027,2025-04-06T08:00:00,85.2,145,88.5
BATCH023,2025-03-25T08:00:00,98.2,15,44.8
BATCH023,2025-03-25T12:00:00,98.0,17,45.5
BATCH024,2025-03-28T08:00:00,98.5,12,43.2
BATCH024,2025-03-28T12:00:00,98.3,14,43.9
BATCH025,2025-04-01T08:00:00,99.0,6,38.2
BATCH025,2025-04-01T12:00:00,98.8,8,38.8
BATCH026,2025-03-18T08:00:00,98.6,10,36.5
BATCH026,2025-03-18T12:00:00,98.4,12,37.1
BATCH028,2025-04-10T08:00:00,99.1,5,34.8
BATCH028,2025-04-10T12:00:00,98.9,7,35.2
BATCH029,2025-04-12T08:00:00,97.8,18,48.5
BATCH029,2025-04-12T12:00:00,97.5,21,49.2
BATCH030,2025-04-15T08:00:00,98.7,9,36.8
BATCH030,2025-04-15T12:00:00,98.5,11,37.5
