FacilityId,timestamp,DailyOutput,EquipmentUptime
FAC001,2025-01-15T00:00:00,145000,98.2
FAC001,2025-01-16T00:00:00,142000,97.8
FAC001,2025-01-17T00:00:00,148000,98.5
FAC001,2025-01-18T00:00:00,138000,96.5
FAC001,2025-01-19T00:00:00,150000,98.8
FAC002,2025-01-15T00:00:00,98000,97.5
FAC002,2025-01-16T00:00:00,95000,96.8
FAC002,2025-01-17T00:00:00,102000,98.2
FAC002,2025-01-18T00:00:00,99000,97.8
FAC003,2025-01-15T00:00:00,115000,98.0
FAC003,2025-01-16T00:00:00,112000,97.5
FAC003,2025-01-17T00:00:00,118000,98.5
FAC005,2025-02-20T00:00:00,82000,94.2
FAC005,2025-02-21T00:00:00,78000,92.5
FAC005,2025-02-22T00:00:00,75000,91.2
FAC005,2025-02-23T00:00:00,80000,93.8
FAC005,2025-04-05T00:00:00,72000,88.5
FAC005,2025-04-06T00:00:00,68000,85.2
FAC005,2025-04-07T00:00:00,65000,82.8
FAC006,2025-01-20T00:00:00,128000,98.8
FAC006,2025-01-21T00:00:00,125000,98.2
FAC006,2025-01-22T00:00:00,130000,99.0
FAC006,2025-03-25T00:00:00,132000,98.5
FAC007,2025-01-25T00:00:00,108000,99.2
FAC007,2025-01-26T00:00:00,105000,98.8
FAC007,2025-02-01T00:00:00,110000,99.0
FAC007,2025-02-02T00:00:00,107000,98.5
FAC009,2025-03-10T00:00:00,95000,95.2
FAC009,2025-03-11T00:00:00,92000,94.5
FAC009,2025-03-12T00:00:00,98000,96.8
FAC009,2025-03-15T00:00:00,102000,97.5
FAC012,2025-02-25T00:00:00,72000,97.8
FAC012,2025-02-26T00:00:00,70000,97.2
FAC012,2025-03-18T00:00:00,75000,98.2
FAC015,2025-03-01T00:00:00,68000,98.0
FAC015,2025-03-02T00:00:00,65000,97.5
FAC008,2025-02-12T00:00:00,78000,97.8
FAC008,2025-02-13T00:00:00,76000,97.2
FAC011,2025-04-12T00:00:00,88000,97.5
FAC011,2025-04-13T00:00:00,85000,96.8
