BatchId,ProductId,FacilityId,BatchDate,ExpirationDate,Quantity,BatchStatus
BATCH001,PROD001,FAC001,2025-01-15T08:00:00,2028-01-15T00:00:00,50000,Released
BATCH002,PROD001,FAC001,2025-02-10T08:00:00,2028-02-10T00:00:00,48000,Released
BATCH003,PROD002,FAC006,2025-01-20T08:00:00,2028-01-20T00:00:00,35000,Released
BATCH004,PROD003,FAC002,2025-03-05T08:00:00,2028-03-05T00:00:00,120000,Released
BATCH005,PROD003,FAC002,2025-03-12T08:00:00,2028-03-12T00:00:00,115000,Released
BATCH006,PROD004,FAC003,2025-02-18T08:00:00,2027-02-18T00:00:00,200000,Released
BATCH007,PROD005,FAC007,2025-01-25T08:00:00,2027-01-25T00:00:00,80000,Released
BATCH008,PROD006,FAC007,2025-02-01T08:00:00,2027-02-01T00:00:00,85000,Released
BATCH009,PROD007,FAC009,2025-03-10T08:00:00,2030-03-10T00:00:00,60000,Released
BATCH010,PROD008,FAC009,2025-03-15T08:00:00,2030-03-15T00:00:00,75000,Released
BATCH011,PROD009,FAC005,2025-02-20T08:00:00,2028-02-20T00:00:00,25000,Released
BATCH012,PROD010,FAC004,2025-01-30T08:00:00,2027-01-30T00:00:00,45000,Released
BATCH013,PROD011,FAC012,2025-02-25T08:00:00,2026-08-25T00:00:00,30000,Released
BATCH014,PROD012,FAC015,2025-03-01T08:00:00,2026-03-01T00:00:00,15000,Released
BATCH015,PROD013,FAC001,2025-03-08T08:00:00,2026-09-08T00:00:00,40000,Released
BATCH016,PROD014,FAC008,2025-02-12T08:00:00,2028-02-12T00:00:00,55000,Released
BATCH017,PROD015,FAC006,2025-01-18T08:00:00,2028-01-18T00:00:00,42000,Released
BATCH018,PROD016,FAC002,2025-03-20T08:00:00,2028-03-20T00:00:00,90000,Released
BATCH019,PROD017,FAC003,2025-02-28T08:00:00,2027-02-28T00:00:00,180000,Released
BATCH020,PROD018,FAC007,2025-03-05T08:00:00,2027-03-05T00:00:00,95000,Released
BATCH021,PROD019,FAC001,2025-01-22T08:00:00,2028-01-22T00:00:00,28000,Quarantine
BATCH022,PROD020,FAC005,2025-02-08T08:00:00,2027-02-08T00:00:00,12000,Released
BATCH023,PROD001,FAC006,2025-03-25T08:00:00,2028-03-25T00:00:00,52000,Released
BATCH024,PROD002,FAC001,2025-03-28T08:00:00,2028-03-28T00:00:00,33000,Released
BATCH025,PROD003,FAC009,2025-04-01T08:00:00,2028-04-01T00:00:00,125000,Released
BATCH026,PROD005,FAC012,2025-03-18T08:00:00,2027-03-18T00:00:00,78000,Released
BATCH027,PROD009,FAC005,2025-04-05T08:00:00,2028-04-05T00:00:00,22000,Quarantine
BATCH028,PROD011,FAC007,2025-04-10T08:00:00,2026-10-10T00:00:00,32000,Released
BATCH029,PROD004,FAC011,2025-04-12T08:00:00,2027-04-12T00:00:00,195000,Released
BATCH030,PROD006,FAC007,2025-04-15T08:00:00,2027-04-15T00:00:00,88000,Released
