BatchId,ComponentId
BATCH001,COMP001
BATCH001,COMP010
BATCH001,COMP019
BATCH001,COMP022
BATCH002,COMP002
BATCH002,COMP010
BATCH002,COMP019
BATCH002,COMP022
BATCH003,COMP002
BATCH003,COMP010
BATCH003,COMP019
BATCH003,COMP022
BATCH004,COMP005
BATCH004,COMP008
BATCH004,COMP002
BATCH005,COMP005
BATCH005,COMP008
BATCH005,COMP003
BATCH006,COMP006
BATCH006,COMP009
BATCH006,COMP004
BATCH007,COMP013
BATCH007,COMP015
BATCH007,COMP020
BATCH008,COMP014
BATCH008,COMP016
BATCH008,COMP020
BATCH009,COMP017
BATCH009,COMP018
BATCH010,COMP017
BATCH010,COMP018
BATCH011,COMP011
BATCH011,COMP024
BATCH011,COMP019
BATCH012,COMP020
BATCH012,COMP021
BATCH013,COMP013
BATCH013,COMP025
BATCH014,COMP025
BATCH015,COMP020
BATCH016,COMP002
BATCH016,COMP010
BATCH016,COMP022
BATCH017,COMP001
BATCH017,COMP010
BATCH017,COMP022
BATCH018,COMP003
BATCH018,COMP023
BATCH019,COMP006
BATCH019,COMP009
BATCH019,COMP023
BATCH020,COMP014
BATCH020,COMP016
BATCH021,COMP019
BATCH021,COMP011
BATCH022,COMP020
BATCH022,COMP021
BATCH023,COMP001
BATCH023,COMP010
BATCH023,COMP019
BATCH024,COMP002
BATCH024,COMP010
BATCH024,COMP019
BATCH025,COMP007
BATCH025,COMP008
BATCH025,COMP003
BATCH026,COMP013
BATCH026,COMP015
BATCH027,COMP011
BATCH027,COMP024
BATCH027,COMP019
BATCH028,COMP013
BATCH028,COMP025
BATCH029,COMP006
BATCH029,COMP009
BATCH029,COMP004
BATCH030,COMP014
BATCH030,COMP016
