FacilityId,SupplierId
FAC001,SUP001
FAC001,SUP002
FAC001,SUP003
FAC001,SUP009
FAC001,SUP014
FAC002,SUP001
FAC002,SUP002
FAC002,SUP003
FAC002,SUP009
FAC002,SUP015
FAC003,SUP001
FAC003,SUP002
FAC003,SUP009
FAC003,SUP011
FAC004,SUP002
FAC004,SUP011
FAC004,SUP12
FAC005,SUP004
FAC005,SUP006
FAC005,SUP011
FAC005,SUP017
FAC006,SUP001
FAC006,SUP002
FAC006,SUP007
FAC006,SUP10
FAC006,SUP014
FAC007,SUP002
FAC007,SUP008
FAC007,SUP013
FAC007,SUP016
FAC008,SUP005
FAC008,SUP008
FAC008,SUP010
FAC009,SUP002
FAC009,SUP003
FAC009,SUP007
FAC009,SUP011
FAC010,SUP003
FAC010,SUP006
FAC010,SUP011
FAC011,SUP001
FAC011,SUP002
FAC011,SUP009
FAC012,SUP002
FAC012,SUP008
FAC012,SUP013
FAC012,SUP018
FAC013,SUP003
FAC013,SUP011
FAC013,SUP019
FAC014,SUP011
FAC014,SUP12
FAC014,SUP20
FAC015,SUP002
FAC015,SUP005
FAC015,SUP008
FAC015,SUP018
