SegmentId,Segment_Type,Segment_Code,Segment_Status,Segment_StartDate,BatchId
SEG-001,Blending,BLD-EB-001,Complete,2025-11-10T08:00:00,BTC-001
SEG-002,Filling,FIL-EB-001,Complete,2025-11-12T06:00:00,BTC-001
SEG-003,Sealing,SEA-EB-001,Complete,2025-11-13T08:00:00,BTC-001
SEG-004,Packaging,PKG-EB-001,Complete,2025-11-14T10:00:00,BTC-001
SEG-005,Blending,BLD-EB-002,Complete,2025-11-11T08:00:00,BTC-002
SEG-006,Filling,FIL-EB-002,Complete,2025-11-13T06:00:00,BTC-002
SEG-007,Sealing,SEA-EB-002,Complete,2025-11-14T08:00:00,BTC-002
SEG-008,Packaging,PKG-EB-002,Complete,2025-11-15T10:00:00,BTC-002
SEG-009,Blending,BLD-EG-001,Complete,2025-11-12T08:00:00,BTC-003
SEG-010,Filling,FIL-EG-001,Complete,2025-11-14T06:00:00,BTC-003
SEG-011,Sealing,SEA-EG-001,Complete,2025-11-15T08:00:00,BTC-003
SEG-012,Packaging,PKG-EG-001,Complete,2025-11-16T10:00:00,BTC-003
SEG-013,Blending,BLD-EG-002,Complete,2025-11-13T08:00:00,BTC-004
SEG-014,Filling,FIL-EG-002,Complete,2025-11-15T06:00:00,BTC-004
SEG-015,Sealing,SEA-EG-002,Complete,2025-11-16T08:00:00,BTC-004
SEG-016,Packaging,PKG-EG-002,Complete,2025-11-17T10:00:00,BTC-004
SEG-017,Blending,BLD-GT-001,Complete,2025-11-14T08:00:00,BTC-005
SEG-018,Filling,FIL-GT-001,Complete,2025-11-16T06:00:00,BTC-005
SEG-019,Sealing,SEA-GT-001,Complete,2025-11-17T08:00:00,BTC-005
SEG-020,Packaging,PKG-GT-001,Complete,2025-11-18T10:00:00,BTC-005
SEG-021,Blending,BLD-GT-002,Complete,2025-11-15T08:00:00,BTC-006
SEG-022,Filling,FIL-GT-002,Complete,2025-11-17T06:00:00,BTC-006
SEG-023,Sealing,SEA-GT-002,Complete,2025-11-18T08:00:00,BTC-006
SEG-024,Packaging,PKG-GT-002,Complete,2025-11-19T10:00:00,BTC-006
SEG-025,Blending,BLD-CH-001,Complete,2025-11-16T08:00:00,BTC-007
SEG-026,Filling,FIL-CH-001,Complete,2025-11-18T06:00:00,BTC-007
SEG-027,Sealing,SEA-CH-001,Complete,2025-11-19T08:00:00,BTC-007
SEG-028,Packaging,PKG-CH-001,Complete,2025-11-20T10:00:00,BTC-007
SEG-029,Blending,BLD-EB-003,InProgress,2025-11-25T08:00:00,BTC-011
SEG-030,Blending,BLD-EG-003,InProgress,2025-11-26T08:00:00,BTC-012
