ShipmentId,MaterialId
SHP-001,MAT-001
SHP-001,MAT-008
SHP-002,MAT-002
SHP-003,MAT-003
SHP-004,MAT-004
SHP-005,MAT-011
SHP-005,MAT-014
SHP-005,MAT-015
SHP-005,MAT-022
SHP-005,MAT-023
SHP-005,MAT-025
SHP-006,MAT-016
SHP-006,MAT-017
SHP-006,MAT-018
SHP-006,MAT-019
SHP-006,MAT-021
SHP-006,MAT-024
SHP-007,MAT-005
SHP-007,MAT-009
SHP-007,MAT-010
SHP-008,MAT-001
SHP-009,MAT-020
SHP-009,MAT-012
SHP-009,MAT-013
SHP-010,MAT-002
SHP-010,MAT-007
SHP-011,MAT-003
SHP-012,MAT-004
SHP-013,MAT-011
SHP-013,MAT-014
SHP-013,MAT-015
SHP-013,MAT-025
SHP-014,MAT-016
SHP-014,MAT-017
SHP-014,MAT-018
SHP-014,MAT-019
SHP-015,MAT-005
SHP-015,MAT-009
SHP-016,MAT-016
SHP-016,MAT-015
SHP-017,MAT-016
SHP-017,MAT-015
SHP-018,MAT-017
SHP-018,MAT-015
SHP-019,MAT-017
SHP-019,MAT-015
SHP-020,MAT-016
SHP-020,MAT-015
SHP-021,MAT-016
SHP-021,MAT-015
SHP-022,MAT-016
SHP-022,MAT-018
SHP-023,MAT-017
SHP-023,MAT-018
SHP-024,MAT-016
SHP-024,MAT-018
SHP-025,MAT-002
SHP-025,MAT-007
