SegmentId,Segment_Type,Segment_Code,Segment_Status,Segment_StartDate,BatchId
SEG-001,Coating,COT-FS-001,Complete,2025-11-10T06:00:00,BTC-001
SEG-002,Weaving,WEV-FS-001,Complete,2025-11-12T08:00:00,BTC-001
SEG-003,SensorEmbed,SEN-FS-001,Complete,2025-11-14T10:00:00,BTC-001
SEG-004,Packaging,PKG-FS-001,Complete,2025-11-16T12:00:00,BTC-001
SEG-005,Coating,COT-FS-002,Complete,2025-11-11T06:00:00,BTC-002
SEG-006,Weaving,WEV-FS-002,Complete,2025-11-13T08:00:00,BTC-002
SEG-007,SensorEmbed,SEN-FS-002,Complete,2025-11-15T10:00:00,BTC-002
SEG-008,Packaging,PKG-FS-002,Complete,2025-11-17T12:00:00,BTC-002
SEG-009,Coating,COT-SL-003,Complete,2025-11-12T06:00:00,BTC-003
SEG-010,Weaving,WEV-SL-003,Complete,2025-11-14T08:00:00,BTC-003
SEG-011,SensorEmbed,SEN-SL-003,Complete,2025-11-16T10:00:00,BTC-003
SEG-012,Packaging,PKG-SL-003,Complete,2025-11-18T12:00:00,BTC-003
SEG-013,Coating,COT-SL-004,Complete,2025-11-13T06:00:00,BTC-004
SEG-014,Weaving,WEV-SL-004,Complete,2025-11-15T08:00:00,BTC-004
SEG-015,SensorEmbed,SEN-SL-004,Complete,2025-11-17T10:00:00,BTC-004
SEG-016,Packaging,PKG-SL-004,Complete,2025-11-19T12:00:00,BTC-004
SEG-017,Coating,COT-SP-005,Complete,2025-11-14T06:00:00,BTC-005
SEG-018,Weaving,WEV-SP-005,Complete,2025-11-16T08:00:00,BTC-005
SEG-019,SensorEmbed,SEN-SP-005,Complete,2025-11-18T10:00:00,BTC-005
SEG-020,Packaging,PKG-SP-005,Complete,2025-11-20T12:00:00,BTC-005
SEG-021,Coating,COT-SP-006,Complete,2025-11-15T06:00:00,BTC-006
SEG-022,Weaving,WEV-SP-006,Complete,2025-11-17T08:00:00,BTC-006
SEG-023,SensorEmbed,SEN-SP-006,Complete,2025-11-19T10:00:00,BTC-006
SEG-024,Packaging,PKG-SP-006,Complete,2025-11-21T12:00:00,BTC-006
SEG-025,Coating,COT-SE-007,Complete,2025-11-16T06:00:00,BTC-007
SEG-026,Weaving,WEV-SE-007,Complete,2025-11-18T08:00:00,BTC-007
SEG-027,SensorEmbed,SEN-SE-007,Complete,2025-11-20T10:00:00,BTC-007
SEG-028,Packaging,PKG-SE-007,Complete,2025-11-22T12:00:00,BTC-007
SEG-029,Coating,COT-FS-003,InProgress,2025-11-25T08:00:00,BTC-011
SEG-030,Coating,COT-SL-004,InProgress,2025-11-26T08:00:00,BTC-012
