TestId,Test_Type,Test_Result,Test_Description,Test_Timestamp,Test_Resolution,SegmentId
TST-001,ConductivityTest,Pass,Routine conductivity check on Field Standard coating,2025-11-10T10:00:00,Approved,SEG-001
TST-002,TensileStrength,Pass,Tensile strength within spec after fiber coating,2025-11-10T11:30:00,Approved,SEG-001
TST-003,MeshGaugeCheck,Pass,Mesh gauge 0.8mm within tolerance,2025-11-12T08:00:00,Approved,SEG-002
TST-004,VisualInspection,Pass,Sensor alignment and placement integrity check passed,2025-11-13T10:00:00,Approved,SEG-003
TST-005,ConductivityTest,Pass,Routine conductivity check for Field Standard,2025-11-11T10:00:00,Approved,SEG-005
TST-006,MeshGaugeCheck,Fail,Mesh gauge underspec - 0.6mm detected,2025-11-13T08:30:00,Loom recalibrated,SEG-006
TST-007,ConductivityTest,Pass,Field Slim conductivity profile approved,2025-11-12T10:00:00,Approved,SEG-009
TST-008,TensileStrength,Pass,Carbon nanotube tensile integration OK,2025-11-12T11:00:00,Approved,SEG-009
TST-009,ContaminationTest,Pass,No foreign particulates detected in cleanroom,2025-11-14T09:00:00,Approved,SEG-010
TST-010,ConductivityTest,Fail,Low conductivity in Field Slim batch - coating under-deposited,2025-11-13T10:00:00,Batch reworked with additional coating,SEG-013
TST-011,MeshGaugeCheck,Pass,Gauge within tolerance 0.8mm +/- 0.05mm,2025-11-15T08:00:00,Approved,SEG-014
TST-012,VisualInspection,Pass,Sensor module alignment and solder joint check OK,2025-11-16T10:00:00,Approved,SEG-015
TST-013,ConductivityTest,Pass,Systems Pro mesh conductivity approved,2025-11-14T10:00:00,Approved,SEG-017
TST-014,TensileStrength,ConditionalPass,Tensile at lower limit 180 MPa - monitor next batch,2025-11-14T11:30:00,Conditional release,SEG-017
TST-015,MeshGaugeCheck,Pass,Gauge check passed,2025-11-16T08:00:00,Approved,SEG-018
TST-016,ContaminationTest,Pass,Cleanroom particle count and ESD check clear,2025-11-17T09:00:00,Approved,SEG-019
TST-017,ConductivityTest,Pass,Systems Pro batch 2 approved,2025-11-15T10:00:00,Approved,SEG-021
TST-018,MeshGaugeCheck,Pass,Gauge check passed,2025-11-17T08:00:00,Approved,SEG-022
TST-019,ConductivityTest,Pass,Systems Elite signal integrity and conductivity OK,2025-11-16T10:00:00,Approved,SEG-025
TST-020,TensileStrength,Fail,Tensile too low at 145 MPa - coating delamination observed,2025-11-16T11:30:00,Additional coating cycle applied,SEG-025
TST-021,MeshGaugeCheck,Pass,Gauge 0.4mm within micro-mesh spec,2025-11-18T08:00:00,Approved,SEG-026
TST-022,VisualInspection,Fail,Sensor misalignment on 3% of units - pick-and-place offset,2025-11-19T10:00:00,Pick-and-place recalibrated and units reworked,SEG-027
TST-023,ContaminationTest,Pass,No conductive particle contamination detected,2025-11-18T09:00:00,Approved,SEG-026
TST-024,Audit,Pass,QMS audit - cleanroom class and ISO 14644 compliance,2025-11-20T14:00:00,Certified,SEG-028
TST-025,ConductivityTest,Pass,Routine conductivity - Field Standard (in progress),2025-11-25T10:00:00,Approved,SEG-029
TST-026,TensileStrength,Pass,Fiber tensile at 210 MPa,2025-11-25T11:00:00,Approved,SEG-029
TST-027,ConductivityTest,ConditionalPass,Field Slim batch - conductivity slightly below target,2025-11-26T10:00:00,Additional nanowire applied,SEG-030
TST-028,VisualInspection,Pass,Packaging label and seal quality check passed,2025-11-14T15:00:00,Approved,SEG-004
TST-029,Audit,Pass,Annual supplier raw material traceability audit,2025-11-22T10:00:00,Certified,SEG-008
TST-030,MeshGaugeCheck,Pass,Final carton gauge verification,2025-11-20T12:00:00,Approved,SEG-028
